wallet	window	side	asof_time	amount_lamports	supporting_flow_count	flow_ref	first_seen_time	first_seen_flow_ref	is_whale
2W14ahXD3XBfWJchQ4K5NLXmguWWcTTUTuHDhEzeuvP3	7d	buy	1769743680	333540181439	541	5VUjt5fqRgDXsdnJFWLkRku1JDULG7LPK1mRcTAocqMPXP7sej9YNbXXJ5En4zEr6wMgReW7agNUD5p2synbwWnD	1769458791	5sUmvbVCFfxdwf4cXFcr8pVtRYV6gPsZufRXQPe12nKisBotGDSGeWLrhaKXrasYi9mGwF4iMa77jDvSQ8ME74vY	1
2W14ahXD3XBfWJchQ4K5NLXmguWWcTTUTuHDhEzeuvP3	7d	sell	1769743748	348043888465	319	2C21QVHmLRqZmyGhJ2Rji1fkJVFLBYy9nMANBCkvhSmKD1KJJob9RmJnGd8zW9iqBfQEA6bheqDpvCUcaErrXCQd	1769467899	29XQeEwLouz6HRjC36o4HCdMNeuTWhiph5UNTkdP8kJxAfwyMcfvFDi1DNv2SqBzzRQMrR8gfwGZEMGWUZ3WwS7c	1
2X4H5Y9C4Fy6Pf3wpq8Q4gMvLcWvfrrwDv2bdR8AAwQv	24h	buy	1769713387	78513873904	30	4xrx8ViYgqKF2TxewjPXCQGqkwdRTubfyUfJC7ze1Xxw7fJDCypuL8UiF6PYku3pBck9oHdBNnMy3d3FuRak72xq	1769176868	4EWY8EMtGzBSdHyMAV4pDqsXLsfjfJXggs1mwgebgD9e9wBmKoaycACoqYTTXWCTXvEnrJsUt4aK92MHRdKSjvAn	1
2X4H5Y9C4Fy6Pf3wpq8Q4gMvLcWvfrrwDv2bdR8AAwQv	24h	sell	1769720670	83692685329	29	2XnKNZqRH5tf7vFk7aDX7EQFdRzYeHs39ebxwxNNZfD73VuC6UxkxZ93n3p4fvgTMPozhq8NyTXYkGojPcdZB1Ka	1769167781	43mhRgwKsGtVfNv83oHe4kmWfX7cYQea5iT9LDu6smroXE7P3R3XwhmwGCXgPwvNaWrJVzix2a1QdvKYjEKzPz39	1
2X4H5Y9C4Fy6Pf3wpq8Q4gMvLcWvfrrwDv2bdR8AAwQv	7d	buy	1769713387	579230473603	349	4xrx8ViYgqKF2TxewjPXCQGqkwdRTubfyUfJC7ze1Xxw7fJDCypuL8UiF6PYku3pBck9oHdBNnMy3d3FuRak72xq	1769356850	GUEY1eGif2YuXuWm3o9KkM7QXuasKso5buicPpRkfLfcjT3h85PBynMJ7o8g6MhfmbPP5RYD9A2jCuXyWtnn8zk	1
2X4H5Y9C4Fy6Pf3wpq8Q4gMvLcWvfrrwDv2bdR8AAwQv	7d	sell	1769720670	791209195000	357	2XnKNZqRH5tf7vFk7aDX7EQFdRzYeHs39ebxwxNNZfD73VuC6UxkxZ93n3p4fvgTMPozhq8NyTXYkGojPcdZB1Ka	1769274342	67FM1EkhSEvkDqLnKRkb54f7BBKJFwxff9rfGXzKfQk1gv1BXKyWwmmnesT5egKcaNzpwRWtskjbVDrcdpN6VjCR	1
2X4H5Y9C4Fy6Pf3wpq8Q4gMvLcWvfrrwDv2bdR8AAwQv	lifetime	buy	1769675705	10128005000	1	2jryRvdANM9qeDiV7z82JHENYidQze7nW3gop1VaNz1XPd1mteh8VF6pgeEGvBnSPdxZQozzfArpJi3kbZ5GLkxU	1769176868	4EWY8EMtGzBSdHyMAV4pDqsXLsfjfJXggs1mwgebgD9e9wBmKoaycACoqYTTXWCTXvEnrJsUt4aK92MHRdKSjvAn	1
2X4H5Y9C4Fy6Pf3wpq8Q4gMvLcWvfrrwDv2bdR8AAwQv	lifetime	sell	1769501795	11826270753	1	47JqVopkNh3dS1ZD7wR18xZrTAb8ZgaTFaZyx8JQjh1Tj6aswgvE9o9Qw2GLKyfZQaQnXMG5Ypph6uB7i1EZavtz	1769501795	47JqVopkNh3dS1ZD7wR18xZrTAb8ZgaTFaZyx8JQjh1Tj6aswgvE9o9Qw2GLKyfZQaQnXMG5Ypph6uB7i1EZavtz	1
2e1w3Xo441Ytvwn54wCn8itAXwCKbiizc9ynGEv14Vis	24h	buy	1769713667	189146641155	63	kfvRGkCidk4LwLumXmM94b1GSZBCuWrZbSPdMux76js6HyMNbFueRnP71Zkhw8qUWEsTxy6wLSL31fqpiJKH1gj	1769349107	5jZnhw4u8UP4YyoU1Bbtw6SNtnT9g1zyEw74NvHFiKiCSSZ9jWEtFnevXDJWHRNqmSBe8keHhtPkJcWy29UtCgnH	1
2e1w3Xo441Ytvwn54wCn8itAXwCKbiizc9ynGEv14Vis	24h	sell	1769713675	99312026564	76	4mbru52iA2RavGehB9VQaXBosaNJ917DgGcJAxj71Z1twMdkVRo94P2EKWACm6CnzSfjJm497UmgMULtoWTqnumz	1769329973	2uCfHvFeMkyGbwJXomugJKTJwPrkSPH1dbUTbCPS81Ltv7HcHXGvj4eXzvYMsWJMv44ofJEqkCjJ8A2U98J5Lyc	1
