wallet	window	side	transition_type	event_time	amount_lamports	supporting_flow_count	flow_ref
2X4H5Y9C4Fy6Pf3wpq8Q4gMvLcWvfrrwDv2bdR8AAwQv	lifetime	sell	ENTER	1769501795	11826270753	1	47JqVopkNh3dS1ZD7wR18xZrTAb8ZgaTFaZyx8JQjh1Tj6aswgvE9o9Qw2GLKyfZQaQnXMG5Ypph6uB7i1EZavtz
2e1w3Xo441Ytvwn54wCn8itAXwCKbiizc9ynGEv14Vis	24h	buy	ENTER	1769349107	50338539211	32	5jZnhw4u8UP4YyoU1Bbtw6SNtnT9g1zyEw74NvHFiKiCSSZ9jWEtFnevXDJWHRNqmSBe8keHhtPkJcWy29UtCgnH
2e1w3Xo441Ytvwn54wCn8itAXwCKbiizc9ynGEv14Vis	24h	sell	ENTER	1769329973	62664277826	10	2uCfHvFeMkyGbwJXomugJKTJwPrkSPH1dbUTbCPS81Ltv7HcHXGvj4eXzvYMsWJMv44ofJEqkCjJ8A2U98J5Lyc
2e1w3Xo441Ytvwn54wCn8itAXwCKbiizc9ynGEv14Vis	7d	buy	ENTER	1769431452	201463292969	83	4oonMKj41gNRH5ZrkJ5oQky3TBPvrAH7MoWcRu1MfPK9KY2KbQrpZww65E2MNvuvxnPhS26wcSDksgHfz8NBQuve
2e1w3Xo441Ytvwn54wCn8itAXwCKbiizc9ynGEv14Vis	7d	sell	ENTER	1769363516	200608615584	89	2fmYa8pX9LooovW5JcVYk6KMond9T9zTfFg7Ezm4rr84hBQ6ih1tJUPXCt5HxKRuLM5oVq7rKcGdDb4uVaicLtpt
2e1w3Xo441Ytvwn54wCn8itAXwCKbiizc9ynGEv14Vis	lifetime	buy	ENTER	1769430125	10002125000	1	9RPsm4SQP3qq9XJTzCdJLN11C9X5PdrUwhbC4NYFPzDe4tMVJgZbZv5NZ5ZzouZ8fN3UShD8koePdHJSgwPRPkE
2e1w3Xo441Ytvwn54wCn8itAXwCKbiizc9ynGEv14Vis	lifetime	sell	ENTER	1769329973	47426456753	1	2uCfHvFeMkyGbwJXomugJKTJwPrkSPH1dbUTbCPS81Ltv7HcHXGvj4eXzvYMsWJMv44ofJEqkCjJ8A2U98J5Lyc
2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f	24h	buy	ENTER	1769556387	50175556473	91	2Z31JXKLCMtFmztxXrSb7YwmUi9HjTag73AQo7EivjNpFkit7HsJqQHWHfyvyb1zv4gSBvCrHCkSYLy7EmusCDa4
2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f	24h	sell	ENTER	1769556171	50359409122	24	jZKdikcBsSc1D7bmWwifP93Y1Xbx3EeduTFyLjhTt7N9vTs7u38S7jz1zTJ7D8mUDFpHqdkLc8ZryPABUg9CW8D
2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f	7d	buy	ENTER	1769563952	200192981948	336	gsxbKKNQGptHTM1zq67HooAuZXDkYRyQfoDF4Vh3RGnWhkq1YaFEa8sudFZDtshvF8xRqsQrvVL6GnDoKUzBrWC
