wallet	window	event_time	event_type	sol_amount_lamports	supporting_flow_count	flow_ref	created_at
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	1769196373	WHALE_TX_BUY	21223044280	1	2a2aofF5obuLyYrxCD1mGrVuGfTirbQ8U93m1ABy27rPD3wQUgwgbs9XBbRRkfGpbF6gPDT491orE5ZUW169xRky	1769196373
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769196373	WHALE_CUM_24H_BUY	188087897536	18	2a2aofF5obuLyYrxCD1mGrVuGfTirbQ8U93m1ABy27rPD3wQUgwgbs9XBbRRkfGpbF6gPDT491orE5ZUW169xRky	1769196373
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769197171	WHALE_CUM_24H_BUY	190139629316	19	XxYcwdyJ7LPwy8z17JY4LsSTjXemnqTNeYnUYGnhedsao4kpBwMx8U3ib1xop87wTUju53q42jGEM9xJKGytAXR	1769197171
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	1769197179	WHALE_TX_SELL	11463983952	1	4emybRWgQE5bH3SBCVjj7uu7foTkKaB8qNGTUDrU5b2oFXhH4Lcq4hvZFie4XwYMRn1v1tMbXMp2anogAG2ogAU	1769197179
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769197179	WHALE_CUM_24H_SELL	60425324315	13	4emybRWgQE5bH3SBCVjj7uu7foTkKaB8qNGTUDrU5b2oFXhH4Lcq4hvZFie4XwYMRn1v1tMbXMp2anogAG2ogAU	1769197179
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	1769197196	WHALE_TX_BUY	10130005000	1	2fKuEkkuMmxYn7munggg3YGFyotuLXRMvzDgDTcLo4msJ7VVe95wzfaLAD8z6czw7Hnv856XduvWzs4bf5iCKQ3r	1769197196
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769197196	WHALE_CUM_24H_BUY	200269634316	20	2fKuEkkuMmxYn7munggg3YGFyotuLXRMvzDgDTcLo4msJ7VVe95wzfaLAD8z6czw7Hnv856XduvWzs4bf5iCKQ3r	1769197196
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	7d	1769197196	WHALE_CUM_7D_BUY	200269634316	20	2fKuEkkuMmxYn7munggg3YGFyotuLXRMvzDgDTcLo4msJ7VVe95wzfaLAD8z6czw7Hnv856XduvWzs4bf5iCKQ3r	1769197196
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769197427	WHALE_CUM_24H_SELL	64656763519	14	5igDkXbhDN36jVKK9SMVzfoAaERx4KyKkqH5kZhXF2m5Qxi4dsrSZLdUheyyKtif29Kswqn8VfR6VMTUAj3eSQKy	1769197427
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	1769197823	WHALE_TX_BUY	25263044280	1	3jY8ropbxtb3wK5XkVGLuoZHb8RnF9AYXsJMufuiUkXm4CveDEfj2edma1ba2qRnTnyfQNe3hSysJcgQYNEaJnme	1769197823
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769197823	WHALE_CUM_24H_BUY	225532678596	21	3jY8ropbxtb3wK5XkVGLuoZHb8RnF9AYXsJMufuiUkXm4CveDEfj2edma1ba2qRnTnyfQNe3hSysJcgQYNEaJnme	1769197823
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	7d	1769197823	WHALE_CUM_7D_BUY	225532678596	21	3jY8ropbxtb3wK5XkVGLuoZHb8RnF9AYXsJMufuiUkXm4CveDEfj2edma1ba2qRnTnyfQNe3hSysJcgQYNEaJnme	1769197823
